|      x |      y |        Pixel Value |          Magnitude |   Local Background | Size of Source (Total Pixel Count) |
|  577.0 | 4315.0 |  757793.5689045936 | 10.601122711828795 | 3430.3865724381626 |                             1085.0 |
| 2385.0 | 1091.0 |   720220.212083071 | 10.656336737150196 |  3424.760855884204 |                             1201.0 |
| 1001.0 | 1688.0 | 397650.20517097553 | 11.301246972833173 | 3428.5471226021687 |                              749.0 |
| 1284.0 | 2334.0 |   350050.888888889 | 11.439672038002168 |  3429.688888888889 |                              665.0 |
|  518.0 | 3540.0 |  268538.7763864044 | 11.727482485760884 |  3431.030411449016 |                              665.0 |
|  348.0 | 4211.0 | 186201.91869060183 | 12.125039620518168 |  3428.360084477297 |                              489.0 |
| 2055.0 | 1555.0 |  194586.3495145631 | 12.077219073304262 | 3428.7313915857603 |                              489.0 |
| 1005.0 | 2322.0 | 205754.35659655835 | 12.016627400911172 | 3429.1137667304015 |                              577.0 |
| 2078.0 | 2862.0 | 178564.76646706602 | 12.170510574683398 | 3428.6364414029085 |                              665.0 |
| 2154.0 | 3620.0 | 158223.42754367949 | 12.301823029345208 |  3426.628982528263 |                              489.0 |
|  600.0 | 4419.0 | 159987.81649484532 | 12.289782721962135 | 3424.7958762886597 |                              489.0 |
| 2321.0 | 3660.0 | 151524.16189536033 | 12.348795273660777 |  3420.694965449161 |                              489.0 |
|  909.0 | 1422.0 |  166787.6263736263 |  12.24459042976407 | 3427.5604395604396 |                              577.0 |
|  603.0 | 3850.0 | 142888.28586278576 | 12.412508434210144 |  3429.651767151767 |                              489.0 |
|  501.0 | 3936.0 | 133904.16718266252 | 12.483014768144468 | 3430.9628482972134 |                              489.0 |
| 2280.0 | 3976.0 |  114205.0222222223 | 12.655786993390066 |  3420.311111111111 |                              421.0 |
|  520.0 | 1296.0 | 138655.22620266117 | 12.445159390797675 | 3428.5475946775846 |                              489.0 |
| 1312.0 |  610.0 |  148449.3636363633 | 12.371054149427309 | 3434.6987012987015 |                              665.0 |
| 1106.0 | 1803.0 | 124238.56341189658 | 12.564358947647658 |  3427.635241301908 |                              421.0 |
| 1855.0 | 4406.0 | 110718.15384615376 | 12.689452911018707 |  3421.897435897436 |                              489.0 |
| 1913.0 | 3295.0 | 104903.13664596272 | 12.748028815081705 | 3434.3105590062114 |                              489.0 |
| 1663.0 | 3522.0 |  95087.25287356321 | 12.854694248606142 | 3438.4597701149423 |                              665.0 |
|  232.0 | 3170.0 | 108937.08066298347 | 12.707060668236094 |  3426.510497237569 |                              421.0 |
| 1919.0 | 2408.0 |  95030.06239600666 | 12.855347463951999 |  3428.022462562396 |                              665.0 |
|  794.0 | 2376.0 | 192536.57328990242 | 12.088716904748294 | 3430.6501628664496 |                             1085.0 |
| 1344.0 | 2660.0 | 126201.71225071233 | 12.547336881826554 | 3433.1168091168092 |                             1201.0 |
| 1998.0 | 1706.0 |  81505.67753201397 | 13.022030345176324 | 3423.3189755529684 |                              349.0 |
|  896.0 | 3096.0 |  89155.58461538446 |  12.92462861967692 | 3434.6102564102566 |                              489.0 |
|  258.0 |  839.0 | 177646.77408412518 | 12.176106686313132 |  3434.367028493894 |                             1085.0 |
| 2340.0 |  422.0 | 286966.58539944934 | 11.655421674728455 |  3416.216253443526 |                              973.0 |
| 2304.0 | 4160.0 |  70116.33888888871 |  13.18545192147211 | 3416.3944444444446 |                              349.0 |
| 1880.0 | 1764.0 |  75329.76202860859 | 13.107583511321145 |  3422.997399219766 |                              293.0 |
| 2077.0 | 1667.0 |  76591.35808383231 | 13.089550574228957 | 3425.6694610778445 |                              349.0 |
| 1310.0 | 2696.0 |  77714.16373626376 | 13.073749554930652 |   3433.99010989011 |                              421.0 |
| 2338.0 | 3070.0 | 126230.36787564773 | 12.547090380275876 | 3425.8445595854923 |                              665.0 |
| 2009.0 | 2587.0 |  66266.02176403208 |  13.24677275300728 | 3425.1088201603666 |                              349.0 |
| 2099.0 |  748.0 | 183791.79640718596 | 12.139184693400374 | 3419.1616766467064 |                              861.0 |
| 2139.0 |  956.0 |  74993.69665513257 | 13.112438095618627 |  3415.410611303345 |                              349.0 |
| 2114.0 | 2557.0 |  78884.36494252877 | 13.057522665996027 |  3421.389846743295 |                              489.0 |
| 2106.0 | 4363.0 | 120144.56600790517 |  12.60073966756322 | 3419.0166007905136 |                              749.0 |
| 1237.0 | 1064.0 |  94039.51121892035 | 12.866724092090774 |  3425.653123104912 |                              973.0 |
| 1632.0 | 2223.0 |  60955.67087155953 | 13.337464711428169 |  3423.645642201835 |                              349.0 |
|  249.0 | 1402.0 |  73269.05396825378 | 13.137698539816999 | 3422.6126984126986 |                              421.0 |
|  187.0 | 2710.0 |  62255.37351991399 | 13.314557892133621 | 3424.3649085037673 |                              421.0 |
| 1118.0 |  283.0 | 137168.21333333338 |  12.45686629543126 |  3429.461333333333 |                              665.0 |
| 2052.0 |  940.0 |  66544.93029150821 | 13.242212563857581 |   3415.28010139417 |                              293.0 |
| 1067.0 | 3391.0 |  91249.20703384187 | 12.899427252310861 | 3440.7644326476443 |                              973.0 |
|  513.0 | 3905.0 | 117514.66253101733 | 12.624769855628905 |  3431.590570719603 |                              749.0 |
| 1243.0 | 3453.0 |  95316.68237395212 | 12.852077705673382 |  3440.108668773183 |                             6785.0 |
| 1248.0 |  574.0 | 142779.89575033216 | 12.413332348685403 | 3433.8891102257635 |                              973.0 |
| 2139.0 | 3061.0 | 44345.141705069225 | 13.682884882435987 | 3426.2546082949307 |                              349.0 |
|  627.0 |  294.0 |   99391.1265822784 | 12.806630966782642 |  3431.281012658228 |                              665.0 |
| 1024.0 |  241.0 | 181815.04987531155 | 12.150925426447404 | 3430.0249376558604 |                             1201.0 |
|  988.0 |  183.0 | 202579.25802469114 | 12.033512559662608 |  3428.482716049383 |                             1201.0 |
|  911.0 | 1605.0 |  52300.69308943092 |  13.50373138954688 |  3424.770325203252 |                              421.0 |
| 1856.0 | 3032.0 | 42181.001140250824 | 13.737207791901076 | 3433.1117445838086 |                              349.0 |
| 1141.0 | 3479.0 |  76684.04050279316 | 13.088237530244044 | 3441.5796089385476 |                              973.0 |
| 1969.0 | 2161.0 |  100328.4290780141 | 12.796439969485947 |  3427.748226950355 |                              665.0 |
| 2406.0 |  558.0 | 129799.39521531085 | 12.516818327684756 |   3419.57990430622 |                              577.0 |
