|          Magnitude | Cumulative Count |              Error |
| 10.772094473917312 |                2 | 1.4142135623730951 |
| 11.114037998094345 |                2 | 1.4142135623730951 |
|  11.45598152227138 |                4 |                2.0 |
| 11.797925046448412 |                8 | 2.8284271247461903 |
| 12.139868570625445 |               22 |   4.69041575982343 |
|  12.48181209480248 |               45 |  6.708203932499369 |
| 12.823755618979513 |               66 |   8.12403840463596 |
| 13.165699143156548 |               93 |  9.643650760992955 |
| 13.507642667333581 |              135 |  11.61895003862225 |
| 13.849586191510614 |              179 | 13.379088160259652 |
| 14.191529715687649 |              245 | 15.652475842498529 |
| 14.533473239864682 |              306 |   17.4928556845359 |
| 14.875416764041717 |              398 | 19.949937343260004 |
|  15.21736028821875 |              511 |  22.60530911091463 |
| 15.559303812395783 |              677 | 26.019223662515376 |
| 15.901247336572816 |              848 | 29.120439557122072 |
| 16.243190860749852 |             1069 |  32.69556544854363 |
| 16.585134384926885 |             1333 |  36.51027252705737 |
| 16.927077909103918 |             1691 |  41.12177038990418 |
|  17.26902143328095 |             2128 | 46.130250378683186 |
| 17.610964957457984 |             2379 | 48.774993593028796 |
| 17.952908481635017 |             2481 |  49.80963762164909 |
|  18.29485200581205 |             2541 |  50.40833264451424 |
| 18.636795529989087 |             2571 |  50.70502933634887 |
|  18.97873905416612 |             2595 | 50.941142507800116 |
| 19.320682578343153 |             2610 | 51.088159097779204 |
|  19.66262610252019 |             2617 |  51.15662224971465 |
| 20.004569626697222 |             2622 |  51.20546845796843 |
| 20.346513150874255 |             2622 |  51.20546845796843 |
| 20.688456675051288 |             2623 |  51.21523210920751 |
